what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806068775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806074209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806076168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806087125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806090276
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806333497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806336618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806391214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806395227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806396718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806405339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806609246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806613249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806801333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286806801933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286807721801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286807727496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286807934965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286807957789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286807960108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808230803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808231049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808235219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808281622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808295832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808332293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808333282
